deal_id,deal_titulo,deal_etapa,tarefa_id,tarefa_titulo,grupo_id,data_criacao,status
35145,25/11/2025 - Calhas Figueiredo,C1:4,94127,Execução de Serviço | Renovação Site - Calhas Figueiredo,513,2024-12-30T15:33:28-03:00,5
42817,20/12/2025 - Cardan Ribeirão,C1:4,98991,Execução de Serviço | Renovação Site - Cardan Ribeirão,513,2025-02-04T16:48:31-03:00,5
58905,20/11/2025 - Toldos Modernos e Calhas,C1:4,108979,Execução de Serviço | Renovação Site - Toldos Modernos e Calhas,513,2025-03-26T12:30:18-03:00,5
73343,25/11/2025 - Wagner Vieira Loucuras de Amor,C1:4,116029,Execução de Serviço | Site - Wagner Vieira Loucuras de Amor,513,2025-05-07T22:24:36-03:00,5
92503,25/11/2025 - Nova Era Troca de Óleo,C1:4,127421,Execução de Serviço | Renovação Site - Nova Era Troca de Óleo,513,2025-07-01T16:46:23-03:00,5
122897,25/11/2025 - Líder Marcenaria - Móveis Planejados,C1:4,141889,Execução de Serviço | Renovação Site - Líder Marcenaria - Móveis Planejados,513,2025-08-25T18:06:53-03:00,5
123671,20/12/2025 - Real Gesso - Loja de Gesso em Uberaba,C1:4,149465,Execução de Serviço | Renovação Site - Real Gesso - Loja de Gesso em Uberaba,513,2025-09-23T16:57:22-03:00,5
127265,15/12/2025 - Select Bens,C1:4,149763,Execução de Serviço | Gestão de Conteúdo - Select Bens,523,2025-09-24T17:29:19-03:00,5
127479,15/12/2025 - Select Bens,C1:4,143973,Execução de Serviço | Landing Page - Tráfego Pago - Select Bens,519,2025-09-01T17:45:41-03:00,5
127577,10/12/2025 - Liliana das Chagas Ferreira,C1:4,144269,Execução de Serviço | Landing Page - Tráfego Pago - Liliana das Chagas Ferreira,519,2025-09-02T16:00:32-03:00,5
130179,20/12/2025 - SJ Embalagem e Descartáveis,C1:4,145601,Execução de Serviço | Site - SJ Embalagem e Descartáveis,513,2025-09-08T17:20:50-03:00,5
132901,15/12/2025 - Na Companhia dos Bichos,C1:4,149431,Execução de Serviço | Site - Na Companhia dos Bichos,513,2025-09-23T15:57:32-03:00,5
134561,25/11/2025 - Atacadão das Madeiras,C1:4,148241,Execução de Serviço | Redes Sociais - Atacadão das Madeiras,523,2025-09-18T16:39:08-03:00,5
134561,25/11/2025 - Atacadão das Madeiras,C1:4,148243,Execução de Serviço | Landing Page - Tráfego Pago - Atacadão das Madeiras,519,2025-09-18T16:39:09-03:00,5
140279,25/11/2025 - Master Mirage Vidros e Esquadrias,C1:4,152045,Execução de Serviço | Site - Master Mirage Vidros e Esquadrias,513,2025-10-03T09:38:08-03:00,5
144397,25/11/2025 - Marmoraria Pessoni,C1:4,153175,Execução de Serviço | Renovação Site - Marmoraria Pessoni,513,2025-10-08T17:09:40-03:00,5
145253,25/11/2025 - Maria do Socorro Roldão de Oliveira,C1:4,154279,Execução de Serviço | Landing Page - Tráfego Pago - Maria do Socorro Roldão de Oliveira,519,2025-10-13T18:06:13-03:00,5
145729,25/11/2025 - Spider Redes de Proteção,C1:4,154805,Execução de Serviço | Site - Spider Redes de Proteção,513,2025-10-15T16:32:16-03:00,5
147847,25/11/2025 - Garagem Rodas Sorocaba,C1:4,156325,Execução de Serviço | Renovação Site - Garagem Rodas Sorocaba,513,2025-10-21T09:25:49-03:00,5
151737,20/12/2025 - A Cor & Forma Decoração,C1:4,159365,Execução de Serviço | Renovação Site - A Cor & Forma Decoração,513,2025-10-31T16:52:52-03:00,5
154937,25/11/2025 - Zala & Santos Sucatas,C1:4,159945,Execução de Serviço | Site - Zala & Santos Sucatas,513,2025-11-03T17:09:54-03:00,5
154997,20/12/2025 - Melo Tambores,C1:4,159887,Execução de Serviço | Site - Melo Tambores,513,2025-11-03T16:35:08-03:00,5
155317,10/12/2025 - Wesley Sachuk Pereira,C1:4,161165,Execução de Serviço | Landing Page - Tráfego Pago - Wesley Sachuk Pereira,519,2025-11-10T11:57:07-03:00,2
164697,20/12/2025 - JG Mecânica Diesel,C1:4,165273,Execução de Serviço | Site - JG Mecânica Diesel,513,2025-11-26T17:08:04-03:00,5
33265,JF PALETES,C1:LOSE,90253,Execução de Serviço | Renovação Site - JF PALETES,513,2024-12-03T16:22:23-03:00,5
45599,Studio Seniria Rodrigues,C1:LOSE,100759,Execução de Serviço | Site - Studio Seniria Rodrigues,513,2025-02-14T15:31:15-03:00,5
47129,HF Gesso,C1:LOSE,101085,Execução de Serviço | Site - HF Gesso,513,2025-02-17T17:47:34-03:00,5
54667,Independência Gás e Água,C1:LOSE,104801,Execução de Serviço | Site - Independência Gás e Água,513,2025-03-05T15:27:43-03:00,5
62907,Alex Bento Estruturas Metálicas,C1:LOSE,109435,Execução de Serviço | Site - Alex Bento Estruturas Metálicas,513,2025-03-28T13:36:43-03:00,5
64689,Anne Skin,C1:LOSE,111357,Execução de Serviço | Landing Page - Tráfego Pago - Anne Skin,519,2025-04-07T16:39:52-03:00,5
70133,Burnet_Tur,C1:LOSE,114231,Execução de Serviço | Landing Page - Tráfego Pago - Burnet_Tur,519,2025-04-28T09:25:51-03:00,5
